id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7473481,Funko POP Disney,Olaf [Glitter] #79,$8.03,$11.75,$13.50,,,,,,,,,$1.80,$8.79,$3.30,$12.99,$3.80,$14.99,849803047719,1,Frozen,,,,2014-01-01
7488314,Funko POP Disney,Olaf as Ariel #1177,$6.58,$9.29,$10.97,,,,,,,,,$1.40,$7.19,$2.00,$9.99,$3.00,$11.99,889698618212,1,Olaf Presents,,,,
7488341,Funko POP Disney,Olaf as Genie #1178,$4.00,$5.47,$10.99,,,,,,,,,$0.90,$4.39,$1.20,$5.99,$3.00,$11.99,889698618229,1,Olaf Presents. Amazon Exclusive,,,,
7488317,Funko POP Disney,Olaf as Moana #1181,$4.50,$7.70,$8.00,,,,,,,,,$1.00,$4.99,$1.70,$8.49,$1.80,$8.79,889698618243,1,Olaf Presents,,,,
7488316,Funko POP Disney,Olaf as Rapunzel #1180,$8.96,$12.74,$14.93,,,,,,,,,$2.00,$9.89,$3.50,$13.99,$4.00,$15.99,889698618250,1,Olaf Presents,,,,
7488315,Funko POP Disney,Olaf as Simba #1179,$3.32,$5.49,$5.53,,,,,,,,,,$3.69,$1.20,$5.99,$1.20,$6.09,889698618236,1,Olaf Presents,,,,
7483945,Funko POP Disney,Olaf with Bruni #733,$6.29,$7.50,$10.12,,,,,,,,,$1.40,$6.89,$1.70,$8.29,$2.80,$10.99,889698465854,1,Frozen II,,,,2020-01-01
7474084,Funko POP Disney,Olaf with Kittens #338,$8.79,$12.00,$14.64,,,,,,,,,$1.90,$9.69,$3.30,$12.99,$4.00,$15.99,889698215732,1,Olaf's Frozen Adventure,,,,2017-01-01
7483989,Funko POP Disney,Olivia #775,$11.78,$16.49,$19.64,,,,,,,,,$3.30,$12.99,$4.50,$17.99,$6.60,$21.99,889698477208,1,The Great Mouse Detective,,,,
7488102,Funko POP Disney,Ongis #1003,$4.58,$6.00,$7.63,,,,,,,,,$1.00,$4.99,$1.30,$6.59,$1.70,$8.39,889698505567,1,Raya and The Last Dragon,,,,2021-01-01
7488103,Funko POP Disney,Ongis [Flocked] #1003,$5.69,$7.00,$8.56,,,,,,,,,$1.30,$6.29,$1.50,$7.69,$1.90,$9.39,889698505567,1,Raya and The Last Dragon,,,,2021-01-01
7488383,Funko POP Disney,Oogie Boogie #1242,$14.30,$20.00,$23.83,,,,,,,,,$4.00,$15.99,$6.60,$21.99,$7.80,$25.99,889698677165,1,Nightmare Before Christmas,,,,2022-01-01
8260090,Funko POP Disney,Oogie Boogie #1407,$8.01,$11.00,$13.35,,,,,,,,,$1.80,$8.79,$3.00,$11.99,$3.80,$14.99,889698757690,1,Nightmare Before Christmas,,,,
7473399,Funko POP Disney,Oogie Boogie #39,$4.00,$5.68,$12.63,,,,,,,,,$0.90,$4.39,$1.30,$6.29,$3.50,$13.99,889698639620,6,Disney Store,,,,2012-01-01
7483899,Funko POP Disney,Oogie Boogie #616,$20.30,$27.92,$33.86,,,,,,,,,$6.60,$21.99,$9.30,$30.99,$14.80,$36.99,889698437998,1,Nightmare Before Christmas,,,,
7484035,Funko POP Disney,Oogie Boogie #811,$26.34,$37.00,$43.95,,,,,,,,,$8.70,$28.99,$16.40,$40.99,$19.20,$47.99,889698405911,1,Nightmare Before Christmas,,,,
7483695,Funko POP Disney,Oogie Boogie Bugs #450,$3.00,$6.54,$7.85,,,,,,,,,,$3.29,$1.40,$7.19,$1.70,$8.59,889698328388,1,Nightmare Before Christmas,,,,
7473401,Funko POP Disney,Oogie Boogie [Blacklight] #39,$8.39,$12.60,$13.99,,,,,,,,,$1.80,$9.19,$3.50,$13.99,$3.80,$14.99,,1,Nightmare Before Christmas,,,,2022-01-01
7484034,Funko POP Disney,Oogie Boogie [Blacklight] #810,$34.75,$49.99,$56.33,,,,,,,,,$15.20,$37.99,$22.00,$54.99,$24.80,$61.99,889698650038,1,Nightmare Before Christmas,,,,2022-01-01
